V battery,Vdet,I detected (A),Rbox,R detected,RV,Idetapprox,Rboxapprox,Rdetapprox,RVapprox,V battery,Vdetu,I detected (A),Rboxu,R detected,R A,Idetapproxu,Rboxapproxu,Rdetapproxu,RAapproxu
4,3.991,8.03E-05,5.00E+04,4.97E+04,9.07E+06,80.26,0.05,0.05,9.07,10,10,9.53E-02,100,1.05E+02,4.93E+00,95.30,0.100,0.105,0.005
4,3.995,4.03E-05,1.00E+05,9.91E+04,1.08E+07,40.32,0.10,0.10,10.80,10,10,4.93E-02,200,2.03E+02,2.84E+00,49.30,0.200,0.203,0.003
4,3.997,2.02E-05,2.00E+05,1.98E+05,1.78E+07,20.21,0.20,0.20,17.76,10,10,1.99E-02,500,5.02E+02,1.63E+00,19.94,0.500,0.502,0.002
4,3.998,8.30E-06,5.00E+05,4.82E+05,1.32E+07,8.30,0.50,0.48,13.15,10,10,9.99E-03,1000,1.00E+03,6.00E-01,9.99,1.000,1.001,0.001
4,3.999,4.32E-06,1.00E+06,9.26E+05,1.25E+07,4.32,1.00,0.93,12.46,10,10,4.76E-03,2000,2.10E+03,1.02E+02,4.76,2.000,2.102,0.102
4,3.999,2.36E-06,2.00E+06,1.67E+06,1.02E+07,2.36,2.00,1.67,10.20,10,10,1.96E-03,5000,5.10E+03,9.84E+01,1.96,5.000,5.098,0.098
4,3.999,1.16E-06,5.00E+06,3.34E+06,1.01E+07,1.16,5.00,3.34,10.10,10,10,9.95E-04,1.00E+04,1.01E+04,5.33E+01,0.99,10.000,10.053,0.053
4,3.999,7.60E-07,1.00E+07,5.03E+06,1.01E+07,0.76,10.00,5.03,10.10,,,,,,,,,,
5,4.949,4.98E-04,1.00E+04,9.94E+03,1.76E+06,497.71,0.01,0.01,1.76,,,,,,,,,,
5,4.973,2.50E-04,2.00E+04,1.99E+04,3.07E+06,250.27,0.02,0.02,3.07,,,,,,,,,,
5,4.989,1.00E-04,5.00E+04,4.97E+04,9.24E+06,100.32,0.05,0.05,9.24,,,,,,,,,,
5,4.994,5.04E-05,1.00E+05,9.91E+04,1.11E+07,50.39,0.10,0.10,11.10,,,,,,,,,,
5,4.996,2.53E-05,2.00E+05,1.98E+05,1.72E+07,25.27,0.20,0.20,17.23,,,,,,,,,,
5,4.998,1.04E-05,5.00E+05,4.82E+05,1.32E+07,10.38,0.50,0.48,13.19,,,,,,,,,,
5,4.998,5.40E-06,1.00E+06,9.26E+05,1.24E+07,5.40,1.00,0.93,12.43,,,,,,,,,,
5,4.998,2.95E-06,2.00E+06,1.69E+06,1.11E+07,2.95,2.00,1.69,11.08,,,,,,,,,,
5,4.999,1.45E-06,5.00E+06,3.45E+06,1.11E+07,1.45,5.00,3.45,11.10,,,,,,,,,,
5,4.999,9.50E-07,1.00E+07,5.26E+06,1.11E+07,0.95,10.00,5.26,11.11,,,,,,,,,,
10,9.9,9.96E-04,1.00E+04,9.94E+03,1.77E+06,995.60,0.01,0.01,1.77,,,,,,,,,,
10,9.95,5.01E-04,2.00E+04,1.99E+04,3.11E+06,500.70,0.02,0.02,3.11,,,,,,,,,,
10,9.98,2.01E-04,5.00E+04,4.97E+04,8.79E+06,200.74,0.05,0.05,8.79,,,,,,,,,,
10,9.99,1.01E-04,1.00E+05,9.90E+04,1.03E+07,100.87,0.10,0.10,10.30,,,,,,,,,,
10,9.99,5.06E-05,2.00E+05,1.97E+05,1.48E+07,50.63,0.20,0.20,14.80,,,,,,,,,,
10,10,2.08E-05,5.00E+05,4.80E+05,1.20E+07,20.84,0.50,0.48,11.98,,,,,,,,,,
10,10,1.09E-05,1.00E+06,9.18E+05,1.12E+07,10.89,1.00,0.92,11.24,,,,,,,,,,
10,10,5.98E-06,2.00E+06,1.67E+06,1.02E+07,5.98,2.00,1.67,10.20,,,,,,,,,,
10,10,2.99E-06,5.00E+06,3.34E+06,1.01E+07,2.99,5.00,3.34,10.10,,,,,,,,,,
10,10,1.99E-06,1.00E+07,5.03E+06,1.01E+07,1.99,10.00,5.03,10.10,,,,,,,,,,
